study_name,model_label,seq_length,features_length,accuracy_avg,pneumonia_precision_avg,covid_precision_avg,healthy_precision_avg,pneumonia_recall_avg,covid_recall_avg,healthy_recall_avg,pneumonia_f1_avg,covid_f1_avg,healthy_f1_avg,pneumonia_specifity_avg,covid_specifity_avg
experiment_1,base_0-5,5,512,0.8739547239547241,0.8966666666666667,0.900952380952381,0.8496918767507002,0.82,0.864423076923077,0.9230769230769231,0.8523019670388093,0.8718370205578214,0.8834738186462324,0.9546419098143236,0.9568840579710145
experiment_1,base_0-10,10,512,0.5330330330330331,0.3,0.5678674948240165,0.6487637362637362,0.1,0.8006868131868131,0.589010989010989,0.14166666666666666,0.5953320968026851,0.5203319808870692,0.9777777777777779,0.5692028985507246
experiment_1,base_0-15,15,512,0.8451720951720952,0.8484848484848484,0.8609061015710632,0.8587301587301587,0.8400000000000001,0.8626373626373626,0.8318681318681319,0.8404761904761905,0.8426166426166427,0.8323345280764636,0.9618233618233617,0.869927536231884
experiment_1,base_0-20,20,512,0.8676715176715177,0.8038095238095238,0.8933333333333333,0.8866666666666667,0.8,0.8798076923076923,0.9076923076923077,0.7983506895581198,0.8855483870967742,0.8962145593869734,0.940053050397878,0.9304347826086957
experiment_1,base_1-5,5,512,0.8945945945945946,0.890909090909091,0.8941176470588236,0.9,0.9199999999999999,0.9076923076923077,0.8615384615384615,0.9047619047619048,0.8986666666666666,0.8761904761904763,0.954131054131054,0.9217391304347826
experiment_1,base_1-10,10,512,0.9,0.8800000000000001,0.9,0.9058823529411765,0.8400000000000001,0.9076923076923077,0.9384615384615385,0.8533333333333333,0.9037037037037038,0.9199999999999999,0.976923076923077,0.9391304347826086
experiment_1,base_1-15,15,512,0.8571610071610072,0.9395959595959595,0.908235294117647,0.8279100529100528,0.7999999999999999,0.8307692307692308,0.9230769230769231,0.8426566416040101,0.8526060606060607,0.8584444444444446,0.978003733176147,0.9739130434782609
experiment_1,base_1-20,20,512,0.8839108339108339,0.8818181818181818,0.9,0.8804511278195489,0.8800000000000001,0.8615384615384615,0.9076923076923077,0.8799498746867169,0.8725925925925926,0.8890925925925925,0.9546419098143236,0.9652173913043478
experiment_1,base_2-5,5,512,0.9,0.9,0.8952380952380953,0.9142857142857143,0.8800000000000001,0.9538461538461538,0.8615384615384615,0.888888888888889,0.9176470588235294,0.8800000000000001,0.9692307692307693,0.9043478260869566
experiment_1,base_2-10,10,512,0.8896165396165395,0.8333333333333333,0.9132352941176471,0.9,0.8,0.9395604395604396,0.9076923076923077,0.8107655502392346,0.9244630210147452,0.9031111111111112,0.9544159544159545,0.9391304347826086
